,item_festival,item_festival_title
71,Gangaur,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Gangaur <br> on March 23rd (Thursday)
72,Gauri Puja,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Gauri Puja <br> on March 23rd (Thursday)
73,Matsya Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/matsya_jayanti.png' alt='icon'> Matsya Jayanti <br> on March 23rd (Thursday)
74,Lakshmi Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_griha_lakshmi.png' alt='icon'> Lakshmi Panchami <br> on March 25th (Saturday)
75,Yamuna Chhath,<img class='dpTooltipImg' src='/images/festivals/60x60/yamuna_chhath.png' alt='icon'> Yamuna Chhath <br> on March 26th (Sunday)
76,Rama Navami *Smarta,<img class='dpTooltipImg' src='/images/festivals/60x60/rama_navami.png' alt='icon'> Rama Navami *Smarta <br> on March 29th (Wednesday)
77,Rama Navami *ISKCON,<img class='dpTooltipImg' src='/images/festivals/60x60/rama_navami.png' alt='icon'> Rama Navami *ISKCON <br> on March 30th (Thursday)
78,Swaminarayan Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/shri_swaminarayan.png' alt='icon'> Swaminarayan Jayanti <br> on March 30th (Thursday)
79,Kamada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Kamada Ekadashi <br> on April 1st (Saturday)
80,Rama Navami *Smarta,<img class='dpTooltipImg' src='/images/festivals/60x60/rama_navami.png' alt='icon'> Rama Navami *Smarta <br> on March 29th (Wednesday)
81,Rama Navami *ISKCON,<img class='dpTooltipImg' src='/images/festivals/60x60/rama_navami.png' alt='icon'> Rama Navami *ISKCON <br> on March 30th (Thursday)
82,Swaminarayan Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/shri_swaminarayan.png' alt='icon'> Swaminarayan Jayanti <br> on March 30th (Thursday)
83,Kamada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Kamada Ekadashi <br> on April 1st (Saturday)
84,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on April 2nd (Sunday)
85,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on April 5th (Wednesday)
