;item_festival;;;;;;;;;;;January
221;Aja Ekadashi;September;10;2023;;;;;;;;
222;Pradosh Vrat;September;12;2023;;;;;;;;
223;Anvadhan;September;14;2023;;;;;;;;
224;Darsha Amavasya;September;14;2023;;;;;;;;
225;Pithori Amavasya;September;14;2023;;;;;;;;
226;Bhadrapada Amavasya;September;14;2023;;;;;;;;
227;Ishti;September;15;2023;;;;;;;;
228;Chandra Darshana;September;16;2023;;;;;;;;
229;Varaha Jayanti;September;17;2023;;;;;;;;
230;Kanya Sankranti;September;17;2023;;;;;;;;
231;Vishwakarma Puja;September;17;2023;;;;;;;;
232;Hartalika Teej;September;18;2023;;;;;;;;
233;Ganesh Chaturthi;September;18;2023;;;;;;;;
234;Rishi Panchami;September;19;2023;;;;;;;;
235;Durva Ashtami;September;22;2023;;;;;;;;
236;Mahalakshmi Vrat Begins;September;22;2023;;;;;;;;
237;Radha Ashtami;September;23;2023;;;;;;;;
238;Parsva Ekadashi;September;25;2023;;;;;;;;
239;Vamana Jayanti;September;26;2023;;;;;;;;
240;Vaishnava Parsva Ekadashi;September;26;2023;;;;;;;;
241;Pradosh Vrat;September;27;2023;;;;;;;;
242;Anvadhan;September;28;2023;;;;;;;;
243;Ganesh Visarjan;September;28;2023;;;;;;;;
244;Purnima Shraddha;September;28;2023;;;;;;;;
245;Anant Chaturdashi;September;28;2023;;;;;;;;
246;Ishti;September;29;2023;;;;;;;;
247;Pitrupaksha Begins;September;29;2023;;;;;;;;
248;Bhadrapada Purnima;September;29;2023;;;;;;;;
249;Vighnaraja Sankashti Chaturthi;October;2;2023;;;;;;;;
250;Jivitputrika Vrat;October;6;2023;;;;;;;;
251;Mahalakshmi Vrat Ends;October;6;2023;;;;;;;;
252;Indira Ekadashi;October;10;2023;;;;;;;;
253;Pradosh Vrat;October;11;2023;;;;;;;;
254;Anvadhan;October;14;2023;;;;;;;;
255;Darsha Amavasya;October;14;2023;;;;;;;;
256;Ashwina Amavasya;October;14;2023;;;;;;;;
257;Sarva Pitru Amavasya;October;14;2023;;;;;;;;
258;Surya Grahan *Valayakara;October;14;2023;;;;;;;;
259;Ishti;October;15;2023;;;;;;;;
260;Ghatasthapana;October;15;2023;;;;;;;;
261;Navratri Begins;October;15;2023;;;;;;;;
262;Chandra Darshana;October;16;2023;;;;;;;;
263;Tula Sankranti;October;17;2023;;;;;;;;
264;Upang Lalita Vrat;October;19;2023;;;;;;;;
265;Saraswati Avahan;October;20;2023;;;;;;;;
266;Saraswati Puja;October;21;2023;;;;;;;;
267;Durga Ashtami;October;22;2023;;;;;;;;
268;Saraswati Visarjan;October;22;2023;;;;;;;;
269;Dussehra;October;23;2023;;;;;;;;
270;Maha Navami;October;23;2023;;;;;;;;
271;Durga Visarjan;October;24;2023;;;;;;;;
272;Papankusha Ekadashi;October;24;2023;;;;;;;;
273;Gauna Papankusha Ekadashi;October;25;2023;;;;;;;;
274;Vaishnava Papankusha Ekadashi;October;25;2023;;;;;;;;
275;Pradosh Vrat;October;26;2023;;;;;;;;
276;Anvadhan;October;28;2023;;;;;;;;
277;Kojagara Puja;October;28;2023;;;;;;;;
278;Sharad Purnima;October;28;2023;;;;;;;;
279;Ashwina Purnima;October;28;2023;;;;;;;;
280;Chandra Grahan *Anshika;October;28;2023;;;;;;;;
281;Ishti;October;29;2023;;;;;;;;
282;Karwa Chauth;November;1;2023;;;;;;;;
283;Vakratunda Sankashti Chaturthi;November;1;2023;;;;;;;;
284;Radha Kunda Snan;November;4;2023;;;;;;;;
285;Ishti;October;29;2023;;;;;;;;
286;Karwa Chauth;November;1;2023;;;;;;;;
287;Vakratunda Sankashti Chaturthi;November;1;2023;;;;;;;;
288;Radha Kunda Snan;November;4;2023;;;;;;;;
289;Ahoi Ashtami;November;5;2023;;;;;;;;
290;Rama Ekadashi;November;9;2023;;;;;;;;
291;Govatsa Dwadashi;November;9;2023;;;;;;;;
292;Dhanteras;November;10;2023;;;;;;;;
293;Pradosh Vrat;November;10;2023;;;;;;;;
294;Kali Chaudas;November;11;2023;;;;;;;;
295;Diwali;November;12;2023;;;;;;;;
296;Lakshmi Puja;November;12;2023;;;;;;;;
297;Darsha Amavasya;November;12;2023;;;;;;;;
298;Narak Chaturdashi;November;12;2023;;;;;;;;
299;Anvadhan;November;13;2023;;;;;;;;
300;Govardhan Puja;November;13;2023;;;;;;;;
301;Kartika Amavasya;November;13;2023;;;;;;;;
302;Ishti;November;14;2023;;;;;;;;
303;Dyuta Krida;November;14;2023;;;;;;;;
304;Bhaiya Dooj;November;14;2023;;;;;;;;
305;Chandra Darshana;November;15;2023;;;;;;;;
306;Vrishchika Sankranti;November;16;2023;;;;;;;;
307;Labh Panchami;November;17;2023;;;;;;;;
308;Chhath Puja;November;18;2023;;;;;;;;
309;Gopashtami;November;20;2023;;;;;;;;
310;Akshaya Navami;November;21;2023;;;;;;;;
311;Kansa Vadh;November;22;2023;;;;;;;;
312;Devutthana Ekadashi;November;23;2023;;;;;;;;
313;Tulasi Vivah;November;24;2023;;;;;;;;
314;Pradosh Vrat;November;24;2023;;;;;;;;
315;Vaikuntha Chaturdashi;November;25;2023;;;;;;;;
316;Anvadhan;November;26;2023;;;;;;;;
317;Dev Diwali;November;26;2023;;;;;;;;
318;Ishti;November;27;2023;;;;;;;;
319;Kartika Purnima;November;27;2023;;;;;;;;
320;Ganadhipa Sankashti Chaturthi;November;30;2023;;;;;;;;
321;Ishti;November;27;2023;;;;;;;;
322;Kartika Purnima;November;27;2023;;;;;;;;
323;Ganadhipa Sankashti Chaturthi;November;30;2023;;;;;;;;
324;Kalabhairav Jayanti;December;5;2023;;;;;;;;
325;Utpanna Ekadashi;December;8;2023;;;;;;;;
326;Pradosh Vrat;December;10;2023;;;;;;;;
327;Anvadhan;December;12;2023;;;;;;;;
328;Darsha Amavasya;December;12;2023;;;;;;;;
329;Margashirsha Amavasya;December;12;2023;;;;;;;;
330;Ishti;December;13;2023;;;;;;;;
331;Chandra Darshana;December;14;2023;;;;;;;;
332;Dhanu Sankranti;December;16;2023;;;;;;;;
333;Vivah Panchami;December;17;2023;;;;;;;;
334;Champa Shashthi;December;18;2023;;;;;;;;
335;Gita Jayanti;December;22;2023;;;;;;;;
336;Mokshada Ekadashi;December;22;2023;;;;;;;;
337;Pradosh Vrat;December;24;2023;;;;;;;;
338;Anvadhan;December;26;2023;;;;;;;;
339;Dattatreya Jayanti;December;26;2023;;;;;;;;
340;Margashirsha Purnima;December;26;2023;;;;;;;;
341;Ishti;December;27;2023;;;;;;;;
342;Akhuratha Sankashti Chaturthi;December;30;2023;;;;;;;;
