,item_festival,item_festival_title
147,Karka Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/dakshinayana_sankranti.png' alt='icon'> Karka Sankranti <br> on July 16th (Tuesday)
148,Devshayani Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/devshayani_ekadashi.png' alt='icon'> Devshayani Ekadashi <br> on July 17th (Wednesday)
149,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on July 18th (Thursday)
150,Jayaparvati Vrat Begins,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Jayaparvati Vrat Begins <br> on July 19th (Friday)
151,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on July 20th (Saturday)
152,Kokila Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/kokila_vrat_puja.png' alt='icon'> Kokila Vrat <br> on July 20th (Saturday)
153,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on July 21st (Sunday)
154,Vyasa Puja,<img class='dpTooltipImg' src='/images/festivals/60x60/guru_purnima.png' alt='icon'> Vyasa Puja <br> on July 21st (Sunday)
155,Guru Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/guru_purnima.png' alt='icon'> Guru Purnima <br> on July 21st (Sunday)
156,Ashadha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Ashadha Purnima <br> on July 21st (Sunday)
157,Jayaparvati Vrat Ends,<img class='dpTooltipImg' src='/images/festivals/60x60/gauri_puja.png' alt='icon'> Jayaparvati Vrat Ends <br> on July 24th (Wednesday)
158,Gajanana Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/gajanana_ganesha.png' alt='icon'> Gajanana Sankashti Chaturthi <br> on July 24th (Wednesday)
159,Kamika Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_sleeping.png' alt='icon'> Kamika Ekadashi <br> on July 31st (Wednesday)
160,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on August 1st (Thursday)
161,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on August 3rd (Saturday)
162,Kamika Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_sleeping.png' alt='icon'> Kamika Ekadashi <br> on July 31st (Wednesday)
163,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on August 1st (Thursday)
164,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on August 3rd (Saturday)
165,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on August 4th (Sunday)
166,Shravana Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Shravana Amavasya <br> on August 4th (Sunday)
167,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on August 5th (Monday)
168,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on August 6th (Tuesday)
169,Hariyali Teej,<img class='dpTooltipImg' src='/images/festivals/60x60/hariyali_teej.png' alt='icon'> Hariyali Teej <br> on August 7th (Wednesday)
170,Nag Panchami,<img class='dpTooltipImg' src='/images/festivals/60x60/nag_panchami_puja.png' alt='icon'> Nag Panchami <br> on August 9th (Friday)
171,Kalki Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/kalki_jayanti.png' alt='icon'> Kalki Jayanti <br> on August 10th (Saturday)
