,item_festival,item_festival_title
345,Gita Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/gita_jayanti.png' alt='icon'> Gita Jayanti <br> on December 3rd (Saturday)
346,Mokshada Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Mokshada Ekadashi <br> on December 3rd (Saturday)
347,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on December 4th (Sunday)
348,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on December 7th (Wednesday)
349,Dattatreya Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/dattatreya_jayanti.png' alt='icon'> Dattatreya Jayanti <br> on December 7th (Wednesday)
350,Margashirsha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Margashirsha Purnima <br> on December 7th (Wednesday)
351,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on December 8th (Thursday)
352,Akhuratha Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Akhuratha Sankashti Chaturthi <br> on December 11th (Sunday)
353,Dhanu Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/dhanu_sankranti.png' alt='icon'> Dhanu Sankranti <br> on December 15th (Thursday)
354,Saphala Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Saphala Ekadashi <br> on December 19th (Monday)
355,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on December 20th (Tuesday)
356,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on December 22nd (Thursday)
357,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on December 22nd (Thursday)
358,Pausha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Pausha Amavasya <br> on December 22nd (Thursday)
359,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on December 23rd (Friday)
360,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on December 24th (Saturday)
